Tanggal,Kab/Kota,Harga
2021-03-16,Kab. Bangkalan,
2021-03-16,Kab. Banyuwangi,34000
2021-03-16,Kab. Blitar,40000
2021-03-16,Kab. Bojonegoro,
2021-03-16,Kab. Bondowoso,31000
2021-03-16,Kab. Gresik,
2021-03-16,Kab. Jember,33000
2021-03-16,Kab. Jombang,30000
2021-03-16,Kab. Kediri,31000
2021-03-16,Kab. Lamongan,30000
2021-03-16,Kab. Lumajang,25000
2021-03-16,Kab. Madiun,
2021-03-16,Kab. Magetan,
2021-03-16,Kab. Malang,
2021-03-16,Kab. Mojokerto,26000
2021-03-16,Kab. Nganjuk,29500
2021-03-16,Kab. Ngawi,30000
2021-03-16,Kab. Pacitan,30000
2021-03-16,Kab. Pamekasan,
2021-03-16,Kab. Pasuruan,32000
2021-03-16,Kab. Ponorogo,
2021-03-16,Kab. Probolinggo,30000
2021-03-16,Kab. Sampang,30000
2021-03-16,Kab. Sidoarjo,34000
2021-03-16,Kab. Situbondo,28000
2021-03-16,Kab. Sumenep,30198
2021-03-16,Kab. Trenggalek,
2021-03-16,Kab. Tuban,32000
2021-03-16,Kab. Tulungagung,35000
2021-03-16,Kota Batu,
2021-03-16,Kota Blitar,30000
2021-03-16,Kota Kediri,28000
2021-03-16,Kota Madiun,32000
2021-03-16,Kota Malang,30000
2021-03-16,Kota Mojokerto,
2021-03-16,Kota Pasuruan,32000
2021-03-16,Kota Probolinggo,27000
2021-03-16,Kota Surabaya,35000
2021-03-17,Kab. Bangkalan,27000
2021-03-17,Kab. Banyuwangi,34000
2021-03-17,Kab. Blitar,25000
2021-03-17,Kab. Bojonegoro,32000
2021-03-17,Kab. Bondowoso,31000
2021-03-17,Kab. Gresik,31300
2021-03-17,Kab. Jember,32000
2021-03-17,Kab. Jombang,30000
2021-03-17,Kab. Kediri,28000
2021-03-17,Kab. Lamongan,30000
2021-03-17,Kab. Lumajang,26000
2021-03-17,Kab. Madiun,32250
2021-03-17,Kab. Magetan,30000
2021-03-17,Kab. Malang,
2021-03-17,Kab. Mojokerto,28000
2021-03-17,Kab. Nganjuk,29500
2021-03-17,Kab. Ngawi,30000
2021-03-17,Kab. Pacitan,35000
2021-03-17,Kab. Pamekasan,36000
2021-03-17,Kab. Pasuruan,32000
2021-03-17,Kab. Ponorogo,30000
2021-03-17,Kab. Probolinggo,30000
2021-03-17,Kab. Sampang,30000
2021-03-17,Kab. Sidoarjo,35000
2021-03-17,Kab. Situbondo,28000
2021-03-17,Kab. Sumenep,28000
2021-03-17,Kab. Trenggalek,34000
2021-03-17,Kab. Tuban,32000
2021-03-17,Kab. Tulungagung,35000
2021-03-17,Kota Batu,
2021-03-17,Kota Blitar,29000
2021-03-17,Kota Kediri,32000
2021-03-17,Kota Madiun,32000
2021-03-17,Kota Malang,30000
2021-03-17,Kota Mojokerto,
2021-03-17,Kota Pasuruan,34000
2021-03-17,Kota Probolinggo,27000
2021-03-17,Kota Surabaya,35000
2021-03-18,Kab. Bangkalan,27000
2021-03-18,Kab. Banyuwangi,32000
2021-03-18,Kab. Blitar,26000
2021-03-18,Kab. Bojonegoro,32000
2021-03-18,Kab. Bondowoso,31000
2021-03-18,Kab. Gresik,
2021-03-18,Kab. Jember,28000
2021-03-18,Kab. Jombang,
2021-03-18,Kab. Kediri,
2021-03-18,Kab. Lamongan,30000
2021-03-18,Kab. Lumajang,25000
2021-03-18,Kab. Madiun,32000
2021-03-18,Kab. Magetan,30000
2021-03-18,Kab. Malang,
2021-03-18,Kab. Mojokerto,28000
2021-03-18,Kab. Nganjuk,29500
2021-03-18,Kab. Ngawi,30000
2021-03-18,Kab. Pacitan,35000
2021-03-18,Kab. Pamekasan,
2021-03-18,Kab. Pasuruan,32000
2021-03-18,Kab. Ponorogo,30000
2021-03-18,Kab. Probolinggo,
2021-03-18,Kab. Sampang,30000
2021-03-18,Kab. Sidoarjo,
2021-03-18,Kab. Situbondo,28000
2021-03-18,Kab. Sumenep,28000
2021-03-18,Kab. Trenggalek,33000
2021-03-18,Kab. Tuban,32000
2021-03-18,Kab. Tulungagung,35000
2021-03-18,Kota Batu,
2021-03-18,Kota Blitar,29000
2021-03-18,Kota Kediri,32000
2021-03-18,Kota Madiun,32000
2021-03-18,Kota Malang,30000
2021-03-18,Kota Mojokerto,
2021-03-18,Kota Pasuruan,34000
2021-03-18,Kota Probolinggo,27000
2021-03-18,Kota Surabaya,35000
2021-03-19,Kab. Bangkalan,27000
