Tanggal,Kab/Kota,Harga
2021-03-16,Kab. Bangkalan,
2021-03-16,Kab. Banyuwangi,10500
2021-03-16,Kab. Blitar,9600
2021-03-16,Kab. Bojonegoro,
2021-03-16,Kab. Bondowoso,10500
2021-03-16,Kab. Gresik,
2021-03-16,Kab. Jember,11500
2021-03-16,Kab. Jombang,9500
2021-03-16,Kab. Kediri,9500
2021-03-16,Kab. Lamongan,10000
2021-03-16,Kab. Lumajang,11000
2021-03-16,Kab. Madiun,
2021-03-16,Kab. Magetan,
2021-03-16,Kab. Malang,
2021-03-16,Kab. Mojokerto,9500
2021-03-16,Kab. Nganjuk,9300
2021-03-16,Kab. Ngawi,9000
2021-03-16,Kab. Pacitan,9800
2021-03-16,Kab. Pamekasan,
2021-03-16,Kab. Pasuruan,10500
2021-03-16,Kab. Ponorogo,
2021-03-16,Kab. Probolinggo,9600
2021-03-16,Kab. Sampang,10000
2021-03-16,Kab. Sidoarjo,10500
2021-03-16,Kab. Situbondo,10500
2021-03-16,Kab. Sumenep,11055
2021-03-16,Kab. Trenggalek,
2021-03-16,Kab. Tuban,10500
2021-03-16,Kab. Tulungagung,9500
2021-03-16,Kota Batu,
2021-03-16,Kota Blitar,10500
2021-03-16,Kota Kediri,10500
2021-03-16,Kota Madiun,10000
2021-03-16,Kota Malang,10500
2021-03-16,Kota Mojokerto,
2021-03-16,Kota Pasuruan,11000
2021-03-16,Kota Probolinggo,10000
2021-03-16,Kota Surabaya,10500
2021-03-17,Kab. Bangkalan,11000
2021-03-17,Kab. Banyuwangi,10500
2021-03-17,Kab. Blitar,9500
2021-03-17,Kab. Bojonegoro,10500
2021-03-17,Kab. Bondowoso,10500
2021-03-17,Kab. Gresik,10600
2021-03-17,Kab. Jember,11500
2021-03-17,Kab. Jombang,9500
2021-03-17,Kab. Kediri,9500
2021-03-17,Kab. Lamongan,10000
2021-03-17,Kab. Lumajang,11000
2021-03-17,Kab. Madiun,9750
2021-03-17,Kab. Magetan,10000
2021-03-17,Kab. Malang,
2021-03-17,Kab. Mojokerto,9300
2021-03-17,Kab. Nganjuk,9300
2021-03-17,Kab. Ngawi,9000
2021-03-17,Kab. Pacitan,9800
2021-03-17,Kab. Pamekasan,11000
2021-03-17,Kab. Pasuruan,10500
2021-03-17,Kab. Ponorogo,11500
2021-03-17,Kab. Probolinggo,9600
2021-03-17,Kab. Sampang,10000
2021-03-17,Kab. Sidoarjo,10500
2021-03-17,Kab. Situbondo,10500
2021-03-17,Kab. Sumenep,10500
2021-03-17,Kab. Trenggalek,10500
2021-03-17,Kab. Tuban,10000
2021-03-17,Kab. Tulungagung,9500
2021-03-17,Kota Batu,
2021-03-17,Kota Blitar,10500
2021-03-17,Kota Kediri,10500
2021-03-17,Kota Madiun,10000
2021-03-17,Kota Malang,10500
2021-03-17,Kota Mojokerto,
2021-03-17,Kota Pasuruan,11000
2021-03-17,Kota Probolinggo,10000
2021-03-17,Kota Surabaya,10500
2021-03-18,Kab. Bangkalan,11000
2021-03-18,Kab. Banyuwangi,10400
2021-03-18,Kab. Blitar,9500
2021-03-18,Kab. Bojonegoro,10500
2021-03-18,Kab. Bondowoso,10500
2021-03-18,Kab. Gresik,
2021-03-18,Kab. Jember,9500
2021-03-18,Kab. Jombang,
2021-03-18,Kab. Kediri,
2021-03-18,Kab. Lamongan,10000
2021-03-18,Kab. Lumajang,11000
2021-03-18,Kab. Madiun,9750
2021-03-18,Kab. Magetan,10000
2021-03-18,Kab. Malang,
2021-03-18,Kab. Mojokerto,9300
2021-03-18,Kab. Nganjuk,9300
2021-03-18,Kab. Ngawi,9000
2021-03-18,Kab. Pacitan,9800
2021-03-18,Kab. Pamekasan,
2021-03-18,Kab. Pasuruan,10500
2021-03-18,Kab. Ponorogo,11000
2021-03-18,Kab. Probolinggo,
2021-03-18,Kab. Sampang,10000
2021-03-18,Kab. Sidoarjo,
2021-03-18,Kab. Situbondo,10500
2021-03-18,Kab. Sumenep,10500
2021-03-18,Kab. Trenggalek,10500
2021-03-18,Kab. Tuban,10000
2021-03-18,Kab. Tulungagung,9500
2021-03-18,Kota Batu,
2021-03-18,Kota Blitar,10500
2021-03-18,Kota Kediri,10500
2021-03-18,Kota Madiun,10000
2021-03-18,Kota Malang,10500
2021-03-18,Kota Mojokerto,
2021-03-18,Kota Pasuruan,11000
2021-03-18,Kota Probolinggo,10000
2021-03-18,Kota Surabaya,10500
2021-03-19,Kab. Bangkalan,11000
2021-03-19,Kab. Banyuwangi,10300
2021-03-19,Kab. Blitar,9500
2021-03-19,Kab. Bojonegoro,10500
2021-03-19,Kab. Bondowoso,10500
2021-03-19,Kab. Gresik,
2021-03-19,Kab. Jember,10500
2021-03-19,Kab. Jombang,9500
2021-03-19,Kab. Kediri,
2021-03-19,Kab. Lamongan,10000
2021-03-19,Kab. Lumajang,11000
2021-03-19,Kab. Madiun,9750
2021-03-19,Kab. Magetan,10000
2021-03-19,Kab. Malang,
2021-03-19,Kab. Mojokerto,9300
2021-03-19,Kab. Nganjuk,9300
2021-03-19,Kab. Ngawi,
2021-03-19,Kab. Pacitan,9800
2021-03-19,Kab. Pamekasan,11000
2021-03-19,Kab. Pasuruan,10500
2021-03-19,Kab. Ponorogo,11000
2021-03-19,Kab. Probolinggo,9600
2021-03-19,Kab. Sampang,10500
2021-03-19,Kab. Sidoarjo,10500
2021-03-19,Kab. Situbondo,10500
2021-03-19,Kab. Sumenep,10500
2021-03-19,Kab. Trenggalek,10500
2021-03-19,Kab. Tuban,10000
2021-03-19,Kab. Tulungagung,9500
2021-03-19,Kota Batu,
2021-03-19,Kota Blitar,10500
2021-03-19,Kota Kediri,10500
2021-03-19,Kota Madiun,10000
2021-03-19,Kota Malang,10500
2021-03-19,Kota Mojokerto,11000
2021-03-19,Kota Pasuruan,11000
2021-03-19,Kota Probolinggo,10000
2021-03-19,Kota Surabaya,10500
2021-03-20,Kab. Bangkalan,11000
2021-03-20,Kab. Banyuwangi,10250
2021-03-20,Kab. Blitar,9500
2021-03-20,Kab. Bojonegoro,10500
2021-03-20,Kab. Bondowoso,10500
2021-03-20,Kab. Gresik,
2021-03-20,Kab. Jember,11500
2021-03-20,Kab. Jombang,9500
2021-03-20,Kab. Kediri,9500
2021-03-20,Kab. Lamongan,
2021-03-20,Kab. Lumajang,10000
2021-03-20,Kab. Madiun,
2021-03-20,Kab. Magetan,
2021-03-20,Kab. Malang,
2021-03-20,Kab. Mojokerto,9300
2021-03-20,Kab. Nganjuk,9300
2021-03-20,Kab. Ngawi,
2021-03-20,Kab. Pacitan,9800
2021-03-20,Kab. Pamekasan,11000
2021-03-20,Kab. Pasuruan,10500
2021-03-20,Kab. Ponorogo,11200
2021-03-20,Kab. Probolinggo,9600
2021-03-20,Kab. Sampang,
2021-03-20,Kab. Sidoarjo,10500
2021-03-20,Kab. Situbondo,
2021-03-20,Kab. Sumenep,10500
2021-03-20,Kab. Trenggalek,10500
2021-03-20,Kab. Tuban,9500
2021-03-20,Kab. Tulungagung,
2021-03-20,Kota Batu,
2021-03-20,Kota Blitar,10500
2021-03-20,Kota Kediri,10200
2021-03-20,Kota Madiun,10000
2021-03-20,Kota Malang,10500
2021-03-20,Kota Mojokerto,
2021-03-20,Kota Pasuruan,11000
2021-03-20,Kota Probolinggo,10000
2021-03-20,Kota Surabaya,10500
2021-03-21,Kab. Bangkalan,11000
2021-03-21,Kab. Banyuwangi,10200
2021-03-21,Kab. Blitar,9500
2021-03-21,Kab. Bojonegoro,10500
2021-03-21,Kab. Bondowoso,10500
2021-03-21,Kab. Gresik,10600
2021-03-21,Kab. Jember,11500
2021-03-21,Kab. Jombang,9500
2021-03-21,Kab. Kediri,9500
2021-03-21,Kab. Lamongan,10000
2021-03-21,Kab. Lumajang,10000
2021-03-21,Kab. Madiun,9750
2021-03-21,Kab. Magetan,
2021-03-21,Kab. Malang,
2021-03-21,Kab. Mojokerto,9300
2021-03-21,Kab. Nganjuk,
2021-03-21,Kab. Ngawi,
2021-03-21,Kab. Pacitan,9800
2021-03-21,Kab. Pamekasan,11000
2021-03-21,Kab. Pasuruan,10500
2021-03-21,Kab. Ponorogo,11200
2021-03-21,Kab. Probolinggo,9600
2021-03-21,Kab. Sampang,10500
2021-03-21,Kab. Sidoarjo,
2021-03-21,Kab. Situbondo,
2021-03-21,Kab. Sumenep,10500
2021-03-21,Kab. Trenggalek,10500
2021-03-21,Kab. Tuban,9500
2021-03-21,Kab. Tulungagung,9500
2021-03-21,Kota Batu,
2021-03-21,Kota Blitar,10500
2021-03-21,Kota Kediri,10000
2021-03-21,Kota Madiun,10000
2021-03-21,Kota Malang,10500
2021-03-21,Kota Mojokerto,
2021-03-21,Kota Pasuruan,11000
2021-03-21,Kota Probolinggo,
2021-03-21,Kota Surabaya,10500
2021-03-22,Kab. Bangkalan,11000
2021-03-22,Kab. Banyuwangi,10000
2021-03-22,Kab. Blitar,9500
2021-03-22,Kab. Bojonegoro,10500
2021-03-22,Kab. Bondowoso,10500
2021-03-22,Kab. Gresik,10600
2021-03-22,Kab. Jember,11500
2021-03-22,Kab. Jombang,9500
2021-03-22,Kab. Kediri,9500
2021-03-22,Kab. Lamongan,10000
2021-03-22,Kab. Lumajang,10500
