Tanggal,Kab/Kota,Harga
2021-03-16,Kab. Bangkalan,
2021-03-16,Kab. Banyuwangi,11500
2021-03-16,Kab. Blitar,10500
2021-03-16,Kab. Bojonegoro,
2021-03-16,Kab. Bondowoso,11500
2021-03-16,Kab. Gresik,
2021-03-16,Kab. Jember,12500
2021-03-16,Kab. Jombang,11000
2021-03-16,Kab. Kediri,11000
2021-03-16,Kab. Lamongan,12500
2021-03-16,Kab. Lumajang,12000
2021-03-16,Kab. Madiun,
2021-03-16,Kab. Magetan,
2021-03-16,Kab. Malang,
2021-03-16,Kab. Mojokerto,11700
2021-03-16,Kab. Nganjuk,11000
2021-03-16,Kab. Ngawi,11000
2021-03-16,Kab. Pacitan,10500
2021-03-16,Kab. Pamekasan,
2021-03-16,Kab. Pasuruan,12000
2021-03-16,Kab. Ponorogo,
2021-03-16,Kab. Probolinggo,10500
2021-03-16,Kab. Sampang,11000
2021-03-16,Kab. Sidoarjo,11300
2021-03-16,Kab. Situbondo,11500
2021-03-16,Kab. Sumenep,11432
2021-03-16,Kab. Trenggalek,
2021-03-16,Kab. Tuban,11000
2021-03-16,Kab. Tulungagung,11000
2021-03-16,Kota Batu,
2021-03-16,Kota Blitar,11000
2021-03-16,Kota Kediri,11500
2021-03-16,Kota Madiun,11000
2021-03-16,Kota Malang,11500
2021-03-16,Kota Mojokerto,
2021-03-16,Kota Pasuruan,11500
2021-03-16,Kota Probolinggo,11500
2021-03-16,Kota Surabaya,12500
2021-03-17,Kab. Bangkalan,12000
2021-03-17,Kab. Banyuwangi,11500
2021-03-17,Kab. Blitar,10600
2021-03-17,Kab. Bojonegoro,12000
2021-03-17,Kab. Bondowoso,11500
2021-03-17,Kab. Gresik,11600
2021-03-17,Kab. Jember,12500
2021-03-17,Kab. Jombang,11000
2021-03-17,Kab. Kediri,11000
2021-03-17,Kab. Lamongan,12500
2021-03-17,Kab. Lumajang,12000
2021-03-17,Kab. Madiun,11667
2021-03-17,Kab. Magetan,11000
2021-03-17,Kab. Malang,
2021-03-17,Kab. Mojokerto,11700
2021-03-17,Kab. Nganjuk,11000
2021-03-17,Kab. Ngawi,11000
2021-03-17,Kab. Pacitan,10500
2021-03-17,Kab. Pamekasan,12000
2021-03-17,Kab. Pasuruan,12000
2021-03-17,Kab. Ponorogo,12000
2021-03-17,Kab. Probolinggo,10500
2021-03-17,Kab. Sampang,11000
2021-03-17,Kab. Sidoarjo,11300
2021-03-17,Kab. Situbondo,11500
2021-03-17,Kab. Sumenep,11500
2021-03-17,Kab. Trenggalek,12000
2021-03-17,Kab. Tuban,10500
2021-03-17,Kab. Tulungagung,11000
2021-03-17,Kota Batu,
2021-03-17,Kota Blitar,11000
2021-03-17,Kota Kediri,11500
2021-03-17,Kota Madiun,11000
2021-03-17,Kota Malang,11500
2021-03-17,Kota Mojokerto,
2021-03-17,Kota Pasuruan,11500
2021-03-17,Kota Probolinggo,11500
2021-03-17,Kota Surabaya,12500
2021-03-18,Kab. Bangkalan,12000
2021-03-18,Kab. Banyuwangi,11300
2021-03-18,Kab. Blitar,10600
2021-03-18,Kab. Bojonegoro,12000
2021-03-18,Kab. Bondowoso,11500
2021-03-18,Kab. Gresik,
2021-03-18,Kab. Jember,11000
2021-03-18,Kab. Jombang,
2021-03-18,Kab. Kediri,
2021-03-18,Kab. Lamongan,12500
2021-03-18,Kab. Lumajang,12000
2021-03-18,Kab. Madiun,11667
2021-03-18,Kab. Magetan,11000
2021-03-18,Kab. Malang,
2021-03-18,Kab. Mojokerto,11700
2021-03-18,Kab. Nganjuk,11000
2021-03-18,Kab. Ngawi,11000
2021-03-18,Kab. Pacitan,10500
2021-03-18,Kab. Pamekasan,
2021-03-18,Kab. Pasuruan,12000
2021-03-18,Kab. Ponorogo,11500
2021-03-18,Kab. Probolinggo,
2021-03-18,Kab. Sampang,11000
2021-03-18,Kab. Sidoarjo,
2021-03-18,Kab. Situbondo,11500
2021-03-18,Kab. Sumenep,11500
2021-03-18,Kab. Trenggalek,12000
2021-03-18,Kab. Tuban,10500
2021-03-18,Kab. Tulungagung,11000
2021-03-18,Kota Batu,
2021-03-18,Kota Blitar,11000
2021-03-18,Kota Kediri,11500
2021-03-18,Kota Madiun,11000
2021-03-18,Kota Malang,11500
2021-03-18,Kota Mojokerto,
2021-03-18,Kota Pasuruan,11500
2021-03-18,Kota Probolinggo,11500
2021-03-18,Kota Surabaya,12500
2021-03-19,Kab. Bangkalan,12000
2021-03-19,Kab. Banyuwangi,11300
2021-03-19,Kab. Blitar,10600
2021-03-19,Kab. Bojonegoro,12000
2021-03-19,Kab. Bondowoso,11500
2021-03-19,Kab. Gresik,
2021-03-19,Kab. Jember,12000
2021-03-19,Kab. Jombang,11000
2021-03-19,Kab. Kediri,
2021-03-19,Kab. Lamongan,12500
2021-03-19,Kab. Lumajang,12000
2021-03-19,Kab. Madiun,11667
2021-03-19,Kab. Magetan,11000
2021-03-19,Kab. Malang,
2021-03-19,Kab. Mojokerto,11700
2021-03-19,Kab. Nganjuk,11000
2021-03-19,Kab. Ngawi,
2021-03-19,Kab. Pacitan,10500
2021-03-19,Kab. Pamekasan,12000
2021-03-19,Kab. Pasuruan,12000
2021-03-19,Kab. Ponorogo,11500
2021-03-19,Kab. Probolinggo,10500
2021-03-19,Kab. Sampang,11500
2021-03-19,Kab. Sidoarjo,11300
2021-03-19,Kab. Situbondo,11500
2021-03-19,Kab. Sumenep,11500
2021-03-19,Kab. Trenggalek,12000
2021-03-19,Kab. Tuban,10500
2021-03-19,Kab. Tulungagung,11000
2021-03-19,Kota Batu,
2021-03-19,Kota Blitar,11000
2021-03-19,Kota Kediri,11500
2021-03-19,Kota Madiun,11000
2021-03-19,Kota Malang,11500
2021-03-19,Kota Mojokerto,12250
2021-03-19,Kota Pasuruan,11500
2021-03-19,Kota Probolinggo,11500
2021-03-19,Kota Surabaya,12500
2021-03-20,Kab. Bangkalan,12000
2021-03-20,Kab. Banyuwangi,11250
2021-03-20,Kab. Blitar,10500
2021-03-20,Kab. Bojonegoro,12000
2021-03-20,Kab. Bondowoso,11500
2021-03-20,Kab. Gresik,
2021-03-20,Kab. Jember,12500
2021-03-20,Kab. Jombang,11000
2021-03-20,Kab. Kediri,11000
2021-03-20,Kab. Lamongan,
2021-03-20,Kab. Lumajang,11000
2021-03-20,Kab. Madiun,
2021-03-20,Kab. Magetan,
2021-03-20,Kab. Malang,
2021-03-20,Kab. Mojokerto,11700
2021-03-20,Kab. Nganjuk,11000
2021-03-20,Kab. Ngawi,
2021-03-20,Kab. Pacitan,10500
2021-03-20,Kab. Pamekasan,12000
2021-03-20,Kab. Pasuruan,12000
2021-03-20,Kab. Ponorogo,11500
2021-03-20,Kab. Probolinggo,10500
2021-03-20,Kab. Sampang,
2021-03-20,Kab. Sidoarjo,11300
2021-03-20,Kab. Situbondo,
2021-03-20,Kab. Sumenep,11500
2021-03-20,Kab. Trenggalek,12000
2021-03-20,Kab. Tuban,10000
2021-03-20,Kab. Tulungagung,11000
2021-03-20,Kota Batu,
2021-03-20,Kota Blitar,11000
2021-03-20,Kota Kediri,11000
2021-03-20,Kota Madiun,11000
2021-03-20,Kota Malang,11500
2021-03-20,Kota Mojokerto,
2021-03-20,Kota Pasuruan,11500
2021-03-20,Kota Probolinggo,11500
2021-03-20,Kota Surabaya,12500
2021-03-21,Kab. Bangkalan,12000
2021-03-21,Kab. Banyuwangi,11200
2021-03-21,Kab. Blitar,10600
2021-03-21,Kab. Bojonegoro,12000
2021-03-21,Kab. Bondowoso,11500
2021-03-21,Kab. Gresik,11600
2021-03-21,Kab. Jember,12500
2021-03-21,Kab. Jombang,11000
2021-03-21,Kab. Kediri,11000
2021-03-21,Kab. Lamongan,12500
2021-03-21,Kab. Lumajang,11500
2021-03-21,Kab. Madiun,11667
2021-03-21,Kab. Magetan,
2021-03-21,Kab. Malang,
2021-03-21,Kab. Mojokerto,11700
2021-03-21,Kab. Nganjuk,
2021-03-21,Kab. Ngawi,
2021-03-21,Kab. Pacitan,10500
2021-03-21,Kab. Pamekasan,12000
2021-03-21,Kab. Pasuruan,12000
2021-03-21,Kab. Ponorogo,11500
2021-03-21,Kab. Probolinggo,10500
2021-03-21,Kab. Sampang,11500
2021-03-21,Kab. Sidoarjo,
2021-03-21,Kab. Situbondo,
2021-03-21,Kab. Sumenep,11500
2021-03-21,Kab. Trenggalek,12000
2021-03-21,Kab. Tuban,10000
2021-03-21,Kab. Tulungagung,11000
2021-03-21,Kota Batu,
2021-03-21,Kota Blitar,11000
2021-03-21,Kota Kediri,11000
2021-03-21,Kota Madiun,11000
2021-03-21,Kota Malang,11500
2021-03-21,Kota Mojokerto,
2021-03-21,Kota Pasuruan,11500
2021-03-21,Kota Probolinggo,
2021-03-21,Kota Surabaya,12500
2021-03-22,Kab. Bangkalan,12000
2021-03-22,Kab. Banyuwangi,11000
2021-03-22,Kab. Blitar,10600
2021-03-22,Kab. Bojonegoro,12000
2021-03-22,Kab. Bondowoso,11500
2021-03-22,Kab. Gresik,11600
2021-03-22,Kab. Jember,12500
2021-03-22,Kab. Jombang,11000
2021-03-22,Kab. Kediri,11000
2021-03-22,Kab. Lamongan,12500
2021-03-22,Kab. Lumajang,11500
2021-03-22,Kab. Madiun,11667
2021-03-22,Kab. Magetan,11000
2021-03-22,Kab. Malang,
2021-03-22,Kab. Mojokerto,11700
2021-03-22,Kab. Nganjuk,11000
2021-03-22,Kab. Ngawi,11000
2021-03-22,Kab. Pacitan,10500
2021-03-22,Kab. Pamekasan,12000
2021-03-22,Kab. Pasuruan,12000
2021-03-22,Kab. Ponorogo,11500
2021-03-22,Kab. Probolinggo,10500
2021-03-22,Kab. Sampang,11500
2021-03-22,Kab. Sidoarjo,11000
2021-03-22,Kab. Situbondo,11500
2021-03-22,Kab. Sumenep,11500
2021-03-22,Kab. Trenggalek,11500
2021-03-22,Kab. Tuban,10000
2021-03-22,Kab. Tulungagung,11000
2021-03-22,Kota Batu,
2021-03-22,Kota Blitar,11000
2021-03-22,Kota Kediri,11000
2021-03-22,Kota Madiun,11000
2021-03-22,Kota Malang,11500
2021-03-22,Kota Mojokerto,12250
2021-03-22,Kota Pasuruan,11500
2021-03-22,Kota Probolinggo,11500
2021-03-22,Kota Surabaya,12500
2021-03-23,Kab. Bangkalan,12000
2021-03-23,Kab. Banyuwangi,11000
2021-03-23,Kab. Blitar,10500
2021-03-23,Kab. Bojonegoro,12000
2021-03-23,Kab. Bondowoso,11500
2021-03-23,Kab. Gresik,11600
2021-03-23,Kab. Jember,12500
2021-03-23,Kab. Jombang,11000
2021-03-23,Kab. Kediri,11000
2021-03-23,Kab. Lamongan,12500
2021-03-23,Kab. Lumajang,11500
2021-03-23,Kab. Madiun,11667
2021-03-23,Kab. Magetan,11000
2021-03-23,Kab. Malang,
2021-03-23,Kab. Mojokerto,11700
2021-03-23,Kab. Nganjuk,11000
2021-03-23,Kab. Ngawi,11000
2021-03-23,Kab. Pacitan,10500
2021-03-23,Kab. Pamekasan,12000
2021-03-23,Kab. Pasuruan,12000
2021-03-23,Kab. Ponorogo,11500
2021-03-23,Kab. Probolinggo,10500
2021-03-23,Kab. Sampang,11500
2021-03-23,Kab. Sidoarjo,10800
2021-03-23,Kab. Situbondo,11500
2021-03-23,Kab. Sumenep,11500
2021-03-23,Kab. Trenggalek,11500
2021-03-23,Kab. Tuban,10000
2021-03-23,Kab. Tulungagung,11000
2021-03-23,Kota Batu,12000
2021-03-23,Kota Blitar,11000
2021-03-23,Kota Kediri,11000
2021-03-23,Kota Madiun,11000
2021-03-23,Kota Malang,11600
2021-03-23,Kota Mojokerto,12250
2021-03-23,Kota Pasuruan,11500
2021-03-23,Kota Probolinggo,11500
2021-03-23,Kota Surabaya,12500
2021-03-24,Kab. Bangkalan,12000
2021-03-24,Kab. Banyuwangi,11000
2021-03-24,Kab. Blitar,10500
2021-03-24,Kab. Bojonegoro,12500
2021-03-24,Kab. Bondowoso,11500
2021-03-24,Kab. Gresik,11600
2021-03-24,Kab. Jember,12500
2021-03-24,Kab. Jombang,11000
2021-03-24,Kab. Kediri,11000
2021-03-24,Kab. Lamongan,12500
2021-03-24,Kab. Lumajang,11500
2021-03-24,Kab. Madiun,11667
2021-03-24,Kab. Magetan,11000
2021-03-24,Kab. Malang,
2021-03-24,Kab. Mojokerto,11700
2021-03-24,Kab. Nganjuk,11000
2021-03-24,Kab. Ngawi,
2021-03-24,Kab. Pacitan,10500
2021-03-24,Kab. Pamekasan,12000
2021-03-24,Kab. Pasuruan,12000
2021-03-24,Kab. Ponorogo,11000
2021-03-24,Kab. Probolinggo,10500
2021-03-24,Kab. Sampang,11500
2021-03-24,Kab. Sidoarjo,10800
2021-03-24,Kab. Situbondo,11500
2021-03-24,Kab. Sumenep,11500
2021-03-24,Kab. Trenggalek,11500
2021-03-24,Kab. Tuban,10000
2021-03-24,Kab. Tulungagung,11000
2021-03-24,Kota Batu,
2021-03-24,Kota Blitar,11000
2021-03-24,Kota Kediri,11000
2021-03-24,Kota Madiun,11000
2021-03-24,Kota Malang,11500
2021-03-24,Kota Mojokerto,12250
2021-03-24,Kota Pasuruan,11500
2021-03-24,Kota Probolinggo,11500
2021-03-24,Kota Surabaya,12500
2021-03-25,Kab. Bangkalan,12000
2021-03-25,Kab. Banyuwangi,11000
2021-03-25,Kab. Blitar,10600
2021-03-25,Kab. Bojonegoro,12500
2021-03-25,Kab. Bondowoso,11500
2021-03-25,Kab. Gresik,11600
2021-03-25,Kab. Jember,12500
2021-03-25,Kab. Jombang,11000
2021-03-25,Kab. Kediri,11000
2021-03-25,Kab. Lamongan,12500
2021-03-25,Kab. Lumajang,11500
2021-03-25,Kab. Madiun,11667
2021-03-25,Kab. Magetan,11000
2021-03-25,Kab. Malang,
2021-03-25,Kab. Mojokerto,11700
2021-03-25,Kab. Nganjuk,11000
2021-03-25,Kab. Ngawi,11000
2021-03-25,Kab. Pacitan,
2021-03-25,Kab. Pamekasan,12000
2021-03-25,Kab. Pasuruan,12000
2021-03-25,Kab. Ponorogo,11000
2021-03-25,Kab. Probolinggo,10500
2021-03-25,Kab. Sampang,11500
2021-03-25,Kab. Sidoarjo,
2021-03-25,Kab. Situbondo,11500
2021-03-25,Kab. Sumenep,11500
2021-03-25,Kab. Trenggalek,11500
2021-03-25,Kab. Tuban,10000
2021-03-25,Kab. Tulungagung,11000
2021-03-25,Kota Batu,11400
2021-03-25,Kota Blitar,11000
2021-03-25,Kota Kediri,11000
2021-03-25,Kota Madiun,11000
2021-03-25,Kota Malang,11600
2021-03-25,Kota Mojokerto,12250
2021-03-25,Kota Pasuruan,11500
2021-03-25,Kota Probolinggo,11500
2021-03-25,Kota Surabaya,12500
2021-03-26,Kab. Bangkalan,12000
2021-03-26,Kab. Banyuwangi,11000
2021-03-26,Kab. Blitar,10600
2021-03-26,Kab. Bojonegoro,12000
2021-03-26,Kab. Bondowoso,11500
2021-03-26,Kab. Gresik,11600
2021-03-26,Kab. Jember,12500
2021-03-26,Kab. Jombang,11000
2021-03-26,Kab. Kediri,10600
2021-03-26,Kab. Lamongan,12500
2021-03-26,Kab. Lumajang,11500
2021-03-26,Kab. Madiun,11667
2021-03-26,Kab. Magetan,11000
2021-03-26,Kab. Malang,
2021-03-26,Kab. Mojokerto,11700
2021-03-26,Kab. Nganjuk,11000
2021-03-26,Kab. Ngawi,11000
2021-03-26,Kab. Pacitan,10500
2021-03-26,Kab. Pamekasan,12000
2021-03-26,Kab. Pasuruan,12000
2021-03-26,Kab. Ponorogo,11500
2021-03-26,Kab. Probolinggo,10500
2021-03-26,Kab. Sampang,11500
2021-03-26,Kab. Sidoarjo,10800
2021-03-26,Kab. Situbondo,11500
2021-03-26,Kab. Sumenep,11500
2021-03-26,Kab. Trenggalek,11500
2021-03-26,Kab. Tuban,10000
2021-03-26,Kab. Tulungagung,11000
2021-03-26,Kota Batu,12000
2021-03-26,Kota Blitar,11000
2021-03-26,Kota Kediri,11000
2021-03-26,Kota Madiun,11000
2021-03-26,Kota Malang,11600
2021-03-26,Kota Mojokerto,12250
2021-03-26,Kota Pasuruan,11500
2021-03-26,Kota Probolinggo,11500
2021-03-26,Kota Surabaya,12500
2021-03-27,Kab. Bangkalan,12000
2021-03-27,Kab. Banyuwangi,11000
2021-03-27,Kab. Blitar,10500
2021-03-27,Kab. Bojonegoro,
2021-03-27,Kab. Bondowoso,11500
2021-03-27,Kab. Gresik,11600
2021-03-27,Kab. Jember,12500
2021-03-27,Kab. Jombang,11000
2021-03-27,Kab. Kediri,11000
2021-03-27,Kab. Lamongan,12500
2021-03-27,Kab. Lumajang,11500
2021-03-27,Kab. Madiun,11667
2021-03-27,Kab. Magetan,11000
2021-03-27,Kab. Malang,
2021-03-27,Kab. Mojokerto,11700
2021-03-27,Kab. Nganjuk,11000
2021-03-27,Kab. Ngawi,11000
2021-03-27,Kab. Pacitan,10500
2021-03-27,Kab. Pamekasan,12000
2021-03-27,Kab. Pasuruan,12000
2021-03-27,Kab. Ponorogo,11300
2021-03-27,Kab. Probolinggo,10500
2021-03-27,Kab. Sampang,11500
2021-03-27,Kab. Sidoarjo,10800
2021-03-27,Kab. Situbondo,11500
2021-03-27,Kab. Sumenep,11500
2021-03-27,Kab. Trenggalek,11500
2021-03-27,Kab. Tuban,10000
2021-03-27,Kab. Tulungagung,11000
2021-03-27,Kota Batu,11600
2021-03-27,Kota Blitar,11000
2021-03-27,Kota Kediri,11000
2021-03-27,Kota Madiun,11000
2021-03-27,Kota Malang,11500
2021-03-27,Kota Mojokerto,12250
2021-03-27,Kota Pasuruan,11500
2021-03-27,Kota Probolinggo,11500
2021-03-27,Kota Surabaya,12500
2021-03-28,Kab. Bangkalan,12000
2021-03-28,Kab. Banyuwangi,11000
2021-03-28,Kab. Blitar,10500
2021-03-28,Kab. Bojonegoro,12000
2021-03-28,Kab. Bondowoso,11500
2021-03-28,Kab. Gresik,11600
2021-03-28,Kab. Jember,12000
2021-03-28,Kab. Jombang,11000
2021-03-28,Kab. Kediri,10500
2021-03-28,Kab. Lamongan,12500
2021-03-28,Kab. Lumajang,11500
2021-03-28,Kab. Madiun,11667
2021-03-28,Kab. Magetan,11000
2021-03-28,Kab. Malang,
2021-03-28,Kab. Mojokerto,11700
2021-03-28,Kab. Nganjuk,11000
2021-03-28,Kab. Ngawi,11000
2021-03-28,Kab. Pacitan,10500
2021-03-28,Kab. Pamekasan,12000
2021-03-28,Kab. Pasuruan,12000
2021-03-28,Kab. Ponorogo,
2021-03-28,Kab. Probolinggo,10500
2021-03-28,Kab. Sampang,11500
2021-03-28,Kab. Sidoarjo,10800
2021-03-28,Kab. Situbondo,11500
2021-03-28,Kab. Sumenep,11500
2021-03-28,Kab. Trenggalek,12000
2021-03-28,Kab. Tuban,10000
2021-03-28,Kab. Tulungagung,11000
2021-03-28,Kota Batu,11300
2021-03-28,Kota Blitar,11000
2021-03-28,Kota Kediri,11000
2021-03-28,Kota Madiun,11000
2021-03-28,Kota Malang,11500
2021-03-28,Kota Mojokerto,
2021-03-28,Kota Pasuruan,11500
2021-03-28,Kota Probolinggo,11500
2021-03-28,Kota Surabaya,12500
2021-03-29,Kab. Bangkalan,12000
2021-03-29,Kab. Banyuwangi,11000
2021-03-29,Kab. Blitar,
2021-03-29,Kab. Bojonegoro,12000
2021-03-29,Kab. Bondowoso,11500
2021-03-29,Kab. Gresik,11600
2021-03-29,Kab. Jember,12000
2021-03-29,Kab. Jombang,
2021-03-29,Kab. Kediri,11000
2021-03-29,Kab. Lamongan,12500
2021-03-29,Kab. Lumajang,11500
2021-03-29,Kab. Madiun,11667
2021-03-29,Kab. Magetan,11000
2021-03-29,Kab. Malang,
2021-03-29,Kab. Mojokerto,11700
2021-03-29,Kab. Nganjuk,11000
2021-03-29,Kab. Ngawi,11000
2021-03-29,Kab. Pacitan,10500
2021-03-29,Kab. Pamekasan,12000
2021-03-29,Kab. Pasuruan,12000
2021-03-29,Kab. Ponorogo,12000
2021-03-29,Kab. Probolinggo,10500
2021-03-29,Kab. Sampang,
2021-03-29,Kab. Sidoarjo,10800
2021-03-29,Kab. Situbondo,11500
2021-03-29,Kab. Sumenep,11500
2021-03-29,Kab. Trenggalek,11500
2021-03-29,Kab. Tuban,10000
2021-03-29,Kab. Tulungagung,11000
2021-03-29,Kota Batu,11400
2021-03-29,Kota Blitar,11000
2021-03-29,Kota Kediri,10500
2021-03-29,Kota Madiun,11000
2021-03-29,Kota Malang,11500
2021-03-29,Kota Mojokerto,12250
2021-03-29,Kota Pasuruan,11500
2021-03-29,Kota Probolinggo,11500
2021-03-29,Kota Surabaya,12500
2021-03-30,Kab. Bangkalan,12000
2021-03-30,Kab. Banyuwangi,11000
2021-03-30,Kab. Blitar,10600
2021-03-30,Kab. Bojonegoro,12000
2021-03-30,Kab. Bondowoso,11500
2021-03-30,Kab. Gresik,11600
2021-03-30,Kab. Jember,12000
2021-03-30,Kab. Jombang,11000
2021-03-30,Kab. Kediri,10800
2021-03-30,Kab. Lamongan,12500
2021-03-30,Kab. Lumajang,11500
2021-03-30,Kab. Madiun,11667
2021-03-30,Kab. Magetan,11000
2021-03-30,Kab. Malang,
2021-03-30,Kab. Mojokerto,11700
2021-03-30,Kab. Nganjuk,11000
2021-03-30,Kab. Ngawi,
2021-03-30,Kab. Pacitan,10500
2021-03-30,Kab. Pamekasan,12000
2021-03-30,Kab. Pasuruan,12000
2021-03-30,Kab. Ponorogo,11500
2021-03-30,Kab. Probolinggo,10500
2021-03-30,Kab. Sampang,11500
2021-03-30,Kab. Sidoarjo,11500
2021-03-30,Kab. Situbondo,11500
2021-03-30,Kab. Sumenep,11500
2021-03-30,Kab. Trenggalek,11500
2021-03-30,Kab. Tuban,10000
2021-03-30,Kab. Tulungagung,11000
2021-03-30,Kota Batu,11300
2021-03-30,Kota Blitar,11000
2021-03-30,Kota Kediri,10000
2021-03-30,Kota Madiun,11000
2021-03-30,Kota Malang,11500
2021-03-30,Kota Mojokerto,12500
2021-03-30,Kota Pasuruan,11500
2021-03-30,Kota Probolinggo,11500
2021-03-30,Kota Surabaya,12500
2021-03-31,Kab. Bangkalan,12000
2021-03-31,Kab. Banyuwangi,11000
2021-03-31,Kab. Blitar,10500
2021-03-31,Kab. Bojonegoro,12000
2021-03-31,Kab. Bondowoso,11500
2021-03-31,Kab. Gresik,11600
2021-03-31,Kab. Jember,12000
2021-03-31,Kab. Jombang,11000
2021-03-31,Kab. Kediri,10500
2021-03-31,Kab. Lamongan,12500
2021-03-31,Kab. Lumajang,11500
2021-03-31,Kab. Madiun,11667
2021-03-31,Kab. Magetan,11000
2021-03-31,Kab. Malang,
2021-03-31,Kab. Mojokerto,11700
2021-03-31,Kab. Nganjuk,11000
2021-03-31,Kab. Ngawi,
2021-03-31,Kab. Pacitan,10500
2021-03-31,Kab. Pamekasan,12000
2021-03-31,Kab. Pasuruan,12000
2021-03-31,Kab. Ponorogo,11500
2021-03-31,Kab. Probolinggo,10500
2021-03-31,Kab. Sampang,11500
2021-03-31,Kab. Sidoarjo,11500
2021-03-31,Kab. Situbondo,11500
2021-03-31,Kab. Sumenep,11500
2021-03-31,Kab. Trenggalek,11500
2021-03-31,Kab. Tuban,10000
2021-03-31,Kab. Tulungagung,11000
2021-03-31,Kota Batu,11300
2021-03-31,Kota Blitar,11000
2021-03-31,Kota Kediri,10000
2021-03-31,Kota Madiun,11000
2021-03-31,Kota Malang,11500
2021-03-31,Kota Mojokerto,12500
2021-03-31,Kota Pasuruan,11500
2021-03-31,Kota Probolinggo,11500
2021-03-31,Kota Surabaya,12500
2021-04-01,Kab. Bangkalan,12000
2021-04-01,Kab. Banyuwangi,11000
2021-04-01,Kab. Blitar,10600
2021-04-01,Kab. Bojonegoro,12000
2021-04-01,Kab. Bondowoso,11500
2021-04-01,Kab. Gresik,11600
2021-04-01,Kab. Jember,12000
2021-04-01,Kab. Jombang,11000
2021-04-01,Kab. Kediri,10800
2021-04-01,Kab. Lamongan,12500
2021-04-01,Kab. Lumajang,12000
2021-04-01,Kab. Madiun,11667
2021-04-01,Kab. Magetan,11000
2021-04-01,Kab. Malang,
2021-04-01,Kab. Mojokerto,11700
2021-04-01,Kab. Nganjuk,
2021-04-01,Kab. Ngawi,11500
2021-04-01,Kab. Pacitan,10500
2021-04-01,Kab. Pamekasan,12000
2021-04-01,Kab. Pasuruan,12000
2021-04-01,Kab. Ponorogo,11500
2021-04-01,Kab. Probolinggo,10500
2021-04-01,Kab. Sampang,11500
2021-04-01,Kab. Sidoarjo,11500
2021-04-01,Kab. Situbondo,11500
2021-04-01,Kab. Sumenep,11500
2021-04-01,Kab. Trenggalek,11500
2021-04-01,Kab. Tuban,10000
2021-04-01,Kab. Tulungagung,11000
2021-04-01,Kota Batu,11300
2021-04-01,Kota Blitar,11000
2021-04-01,Kota Kediri,10000
2021-04-01,Kota Madiun,11000
2021-04-01,Kota Malang,11500
2021-04-01,Kota Mojokerto,12250
2021-04-01,Kota Pasuruan,11500
2021-04-01,Kota Probolinggo,11500
2021-04-01,Kota Surabaya,12500
2021-04-02,Kab. Bangkalan,12000
