Tanggal,Kab/Kota,Harga
2021-03-16,Kab. Bangkalan,
2021-03-16,Kab. Banyuwangi,110000
2021-03-16,Kab. Blitar,112000
2021-03-16,Kab. Bojonegoro,
2021-03-16,Kab. Bondowoso,115000
2021-03-16,Kab. Gresik,
2021-03-16,Kab. Jember,105000
2021-03-16,Kab. Jombang,115000
2021-03-16,Kab. Kediri,110000
2021-03-16,Kab. Lamongan,105000
2021-03-16,Kab. Lumajang,115000
2021-03-16,Kab. Madiun,
2021-03-16,Kab. Magetan,
2021-03-16,Kab. Malang,
2021-03-16,Kab. Mojokerto,100000
2021-03-16,Kab. Nganjuk,125250
2021-03-16,Kab. Ngawi,125000
2021-03-16,Kab. Pacitan,120000
2021-03-16,Kab. Pamekasan,
2021-03-16,Kab. Pasuruan,120000
2021-03-16,Kab. Ponorogo,
2021-03-16,Kab. Probolinggo,105000
2021-03-16,Kab. Sampang,115000
2021-03-16,Kab. Sidoarjo,120000
2021-03-16,Kab. Situbondo,120000
2021-03-16,Kab. Sumenep,114334
2021-03-16,Kab. Trenggalek,
2021-03-16,Kab. Tuban,120000
2021-03-16,Kab. Tulungagung,120000
2021-03-16,Kota Batu,
2021-03-16,Kota Blitar,110000
2021-03-16,Kota Kediri,120000
2021-03-16,Kota Madiun,119000
2021-03-16,Kota Malang,130000
2021-03-16,Kota Mojokerto,
2021-03-16,Kota Pasuruan,125000
2021-03-16,Kota Probolinggo,100000
2021-03-16,Kota Surabaya,115000
2021-03-17,Kab. Bangkalan,120000
2021-03-17,Kab. Banyuwangi,110000
2021-03-17,Kab. Blitar,110000
2021-03-17,Kab. Bojonegoro,110000
2021-03-17,Kab. Bondowoso,115000
2021-03-17,Kab. Gresik,108300
2021-03-17,Kab. Jember,110000
2021-03-17,Kab. Jombang,115000
2021-03-17,Kab. Kediri,115000
2021-03-17,Kab. Lamongan,105000
2021-03-17,Kab. Lumajang,110000
2021-03-17,Kab. Madiun,115500
2021-03-17,Kab. Magetan,105000
2021-03-17,Kab. Malang,
2021-03-17,Kab. Mojokerto,110000
2021-03-17,Kab. Nganjuk,125250
2021-03-17,Kab. Ngawi,125000
2021-03-17,Kab. Pacitan,140000
2021-03-17,Kab. Pamekasan,128000
2021-03-17,Kab. Pasuruan,120000
2021-03-17,Kab. Ponorogo,115000
2021-03-17,Kab. Probolinggo,120000
2021-03-17,Kab. Sampang,117000
2021-03-17,Kab. Sidoarjo,125000
2021-03-17,Kab. Situbondo,121000
2021-03-17,Kab. Sumenep,120000
2021-03-17,Kab. Trenggalek,115000
2021-03-17,Kab. Tuban,120000
2021-03-17,Kab. Tulungagung,120000
2021-03-17,Kota Batu,
2021-03-17,Kota Blitar,112500
2021-03-17,Kota Kediri,120000
2021-03-17,Kota Madiun,47000
2021-03-17,Kota Malang,130000
2021-03-17,Kota Mojokerto,
2021-03-17,Kota Pasuruan,125000
2021-03-17,Kota Probolinggo,100000
2021-03-17,Kota Surabaya,115000
2021-03-18,Kab. Bangkalan,120000
2021-03-18,Kab. Banyuwangi,110000
2021-03-18,Kab. Blitar,120000
2021-03-18,Kab. Bojonegoro,110000
2021-03-18,Kab. Bondowoso,115000
2021-03-18,Kab. Gresik,
2021-03-18,Kab. Jember,90000
2021-03-18,Kab. Jombang,
2021-03-18,Kab. Kediri,
2021-03-18,Kab. Lamongan,120000
2021-03-18,Kab. Lumajang,110000
2021-03-18,Kab. Madiun,115250
2021-03-18,Kab. Magetan,105000
2021-03-18,Kab. Malang,
2021-03-18,Kab. Mojokerto,110000
2021-03-18,Kab. Nganjuk,121250
2021-03-18,Kab. Ngawi,125000
2021-03-18,Kab. Pacitan,140000
2021-03-18,Kab. Pamekasan,
2021-03-18,Kab. Pasuruan,120000
2021-03-18,Kab. Ponorogo,113000
2021-03-18,Kab. Probolinggo,
2021-03-18,Kab. Sampang,117000
2021-03-18,Kab. Sidoarjo,
2021-03-18,Kab. Situbondo,121000
2021-03-18,Kab. Sumenep,120000
2021-03-18,Kab. Trenggalek,115000
2021-03-18,Kab. Tuban,120000
2021-03-18,Kab. Tulungagung,120000
2021-03-18,Kota Batu,
2021-03-18,Kota Blitar,112500
2021-03-18,Kota Kediri,120000
2021-03-18,Kota Madiun,115000
2021-03-18,Kota Malang,130000
2021-03-18,Kota Mojokerto,
2021-03-18,Kota Pasuruan,125000
2021-03-18,Kota Probolinggo,100000
2021-03-18,Kota Surabaya,115000
2021-03-19,Kab. Bangkalan,120000
2021-03-19,Kab. Banyuwangi,110000
2021-03-19,Kab. Blitar,115000
2021-03-19,Kab. Bojonegoro,100000
2021-03-19,Kab. Bondowoso,125000
2021-03-19,Kab. Gresik,
2021-03-19,Kab. Jember,120000
2021-03-19,Kab. Jombang,110000
2021-03-19,Kab. Kediri,
2021-03-19,Kab. Lamongan,120000
2021-03-19,Kab. Lumajang,115000
2021-03-19,Kab. Madiun,115250
2021-03-19,Kab. Magetan,112000
2021-03-19,Kab. Malang,
2021-03-19,Kab. Mojokerto,
2021-03-19,Kab. Nganjuk,118250
2021-03-19,Kab. Ngawi,
